epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.7171,1.10483,1.79856,1.36869,0.50435,0.67442,0.46492,0.21611,1.57357,12.3488,2.33661,0.000647059,0.000647059,0.000647059
2,54.9606,1.24613,1.24741,1.40156,0.0182,0.17442,0.01357,0.00398,3.05393,98.5692,4.13799,0.00128771,0.00128771,0.00128771
3,80.6753,1.28331,1.22669,1.44153,0.00463,0.06977,0.00256,0.0007,3.43822,12.1751,7.44255,0.00190197,0.00190197,0.00190197
4,106.788,1.21761,1.08188,1.39824,0.30295,0.67442,0.36882,0.18496,1.54476,7.80355,2.37692,0.0018812,0.0018812,0.0018812
5,133.123,1.1598,0.99886,1.32436,0.23115,0.24419,0.18112,0.09991,2.08931,3.14514,2.19502,0.0018416,0.0018416,0.0018416
6,159.626,1.11686,0.95673,1.28182,0.47535,0.56977,0.56683,0.32536,1.51259,3.39706,1.87152,0.001802,0.001802,0.001802
7,190.948,1.08645,0.90119,1.27065,0.82329,0.75581,0.81523,0.53765,1.17939,1.28679,1.47099,0.0017624,0.0017624,0.0017624
8,223.777,1.02008,0.88397,1.23399,0.86852,0.87209,0.91627,0.65573,1.01429,1.21676,1.29121,0.0017228,0.0017228,0.0017228
9,251.555,0.98295,0.81188,1.21508,0.91225,0.48358,0.68706,0.48447,1.06171,4.50849,1.34384,0.0016832,0.0016832,0.0016832
10,278.804,0.95544,0.7752,1.21077,0.91624,0.86047,0.9262,0.70195,0.91977,0.76445,1.1609,0.0016436,0.0016436,0.0016436
11,306.623,0.97229,0.7389,1.18277,0.46452,0.43023,0.43313,0.25376,1.54855,3.0927,1.92202,0.001604,0.001604,0.001604
12,333.823,0.92741,0.72744,1.1674,0.91374,0.84884,0.94313,0.62977,1.0745,0.82446,1.36595,0.0015644,0.0015644,0.0015644
13,361.401,0.88492,0.68746,1.15297,0.95218,0.92619,0.9585,0.72858,0.84534,0.73239,1.15955,0.0015248,0.0015248,0.0015248
14,389.36,0.86688,0.66504,1.14251,0.89917,0.94186,0.96654,0.76082,0.80228,0.65835,1.11574,0.0014852,0.0014852,0.0014852
15,423.282,0.86528,0.67697,1.15657,0.94895,0.86455,0.94564,0.74319,0.80221,1.5168,1.19746,0.0014456,0.0014456,0.0014456
16,450.89,0.83123,0.61573,1.10658,0.9621,0.8856,0.93368,0.73682,0.77544,1.19636,1.14658,0.001406,0.001406,0.001406
